Timestamp,Distance (cm),time_diff (s),Speed (cm/s)
2024-07-12 10:00:39,98,0.099,181.818
2024-07-12 10:00:39,105,0.099,70.7071
2024-07-12 10:00:40,104,0.1,-10
2024-07-12 10:00:40,95,0.101,-89.1089
2024-07-12 10:00:40,79,0.098,-163.265
2024-07-12 10:00:40,65,0.1,-140
2024-07-12 10:00:40,51,0.099,-141.414
2024-07-12 10:00:40,42,0.1,-90
2024-07-12 10:00:40,37,0.101,-49.505
2024-07-12 10:00:40,38,0.1,10
2024-07-12 10:00:40,46,0.099,80.8081
2024-07-12 10:00:40,56,0.1,100
2024-07-12 10:00:41,69,0.1,130
2024-07-12 10:00:41,82,0.099,131.313
2024-07-12 10:00:41,93,0.099,111.111
2024-07-12 10:00:41,101,0.1,80
2024-07-12 10:00:41,101,0.1,0
2024-07-12 10:00:41,94,0.1,-70
2024-07-12 10:00:41,84,0.1,-100
2024-07-12 10:00:41,74,0.1,-100
2024-07-12 10:00:41,65,0.1,-90
2024-07-12 10:00:41,55,0.1,-100
2024-07-12 10:00:42,47,0.099,-80.8081
2024-07-12 10:00:42,43,0.1,-40
2024-07-12 10:00:42,43,0.1,0
2024-07-12 10:00:42,48,0.099,50.5051
2024-07-12 10:00:42,54,0.101,59.4059
2024-07-12 10:00:42,63,0.1,90
2024-07-12 10:00:42,72,0.099,90.9091
2024-07-12 10:00:42,82,0.1,100
2024-07-12 10:00:42,89,0.1,70
2024-07-12 10:00:42,94,0.099,50.5051
2024-07-12 10:00:43,93,0.1,-10
2024-07-12 10:00:43,89,0.1,-40
2024-07-12 10:00:43,82,0.099,-70.7071
2024-07-12 10:00:43,75,0.1,-70
2024-07-12 10:00:43,68,0.1,-70
2024-07-12 10:00:43,62,0.1,-60
2024-07-12 10:00:43,58,0.101,-39.604
2024-07-12 10:00:43,56,0.099,-20.202
2024-07-12 10:00:43,57,0.099,10.101
2024-07-12 10:00:43,62,0.1,50
2024-07-12 10:00:44,68,0.099,60.6061
2024-07-12 10:00:44,75,0.1,70
2024-07-12 10:00:44,81,0.1,60
2024-07-12 10:00:44,85,0.1,40
2024-07-12 10:00:44,85,0.099,0
2024-07-12 10:00:44,80,0.1,-50
2024-07-12 10:00:44,75,0.1,-50
2024-07-12 10:00:44,68,0.1,-70
2024-07-12 10:00:44,62,0.099,-60.6061
2024-07-12 10:00:44,57,0.1,-50
2024-07-12 10:00:45,52,0.099,-50.5051
2024-07-12 10:00:45,49,0.1,-30
